"","EditId","occid","CatalogNumber","dbpk","ReviewStatus","AppliedStatus","Editor","Timestamp","FieldName","OldValue","NewValue"
"100058",1914684,4251238,"0027311MOR",19434,"OPEN","APPLIED","Hipp, Andrew",42353.6936458333,"decimallatitude","41.325251000000002","41.325755000000001"
"107757",1914685,4251238,"0027311MOR",19434,"OPEN","APPLIED","Hipp, Andrew",42353.6936458333,"decimallongitude","-86.602231000000003","-86.602733000000001"
"7541",1915998,4253876,"0027030MOR",22082,"OPEN","APPLIED","Hipp, Andrew",42353.7480555556,"coordinateuncertaintyinmeters","176","192"
"100038",1915996,4253876,"0027030MOR",22082,"OPEN","APPLIED","Hipp, Andrew",42353.7480555556,"decimallatitude","41.737112000000003","41.737296000000001"
"107737",1915997,4253876,"0027030MOR",22082,"OPEN","APPLIED","Hipp, Andrew",42353.7480555556,"decimallongitude","-86.484435000000005","-86.485883999999999"
"130234",2033466,4257984,"0027064MOR",26206,"OPEN","APPLIED","Hipp, Andrew",42374.7403587963,"georeferenceremarks","based on collectors description","based on collectors description major F.P."
"7509",2065995,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42381.6362037037,"coordinateuncertaintyinmeters","969","200"
"100006",2066005,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42381.6387384259,"decimallatitude","42.451974","42.452849999999998"
"107705",2066006,4258558,"0027275MOR",26785,"OPEN","APPLIED","Hipp, Andrew",42381.6387384259,"decimallongitude","-88.188884999999999","-88.185879999999997"
"7507",2066051,4258847,"0027302MOR",27074,"OPEN","APPLIED","Hipp, Andrew",42381.6450578704,"coordinateuncertaintyinmeters","165","173"
"100004",2066049,4258847,"0027302MOR",27074,"OPEN","APPLIED","Hipp, Andrew",42381.6450578704,"decimallatitude","41.015458000000002","41.015345000000003"
"107703",2066050,4258847,"0027302MOR",27074,"OPEN","APPLIED","Hipp, Andrew",42381.6450578704,"decimallongitude","-87.478556999999995","-87.478712999999999"
"122795",2066052,4258847,"0027302MOR",27074,"OPEN","APPLIED","Hipp, Andrew",42381.6450578704,"georeferencedby","l","Louise and Lee"
"99994",2066844,4259556,"0027177MOR",27786,"OPEN","APPLIED","Hipp, Andrew",42381.6743055556,"decimallatitude","41.072918999999999","41.073065"
"107693",2066845,4259556,"0027177MOR",27786,"OPEN","APPLIED","Hipp, Andrew",42381.6743055556,"decimallongitude","-87.253191999999999","-87.252312000000003"
"7496",2067234,4259645,"0027121MOR",27875,"OPEN","APPLIED","Hipp, Andrew",42381.6871180556,"coordinateuncertaintyinmeters","213","167"
"99992",2067232,4259645,"0027121MOR",27875,"OPEN","APPLIED","Hipp, Andrew",42381.6871180556,"decimallatitude","41.648788000000003","41.648384999999998"
"107691",2067233,4259645,"0027121MOR",27875,"OPEN","APPLIED","Hipp, Andrew",42381.6871180556,"decimallongitude","-87.019396999999998","-87.018261999999993"
"7483",2067837,4261009,"0027335MOR",29245,"OPEN","APPLIED","Hipp, Andrew",42381.7272106481,"coordinateuncertaintyinmeters","218","201"
"99979",2067835,4261009,"0027335MOR",29245,"OPEN","APPLIED","Hipp, Andrew",42381.7272106481,"decimallatitude","41.324233999999997","41.322364999999998"
"107678",2067836,4261009,"0027335MOR",29245,"OPEN","APPLIED","Hipp, Andrew",42381.7272106481,"decimallongitude","-88.276724999999999","-88.271747000000005"
"7470",2101612,4262006,"0027026MOR",31082,"OPEN","APPLIED","Hipp, Andrew",42388.6207291667,"coordinateuncertaintyinmeters","194","180"
"99966",2101611,4262006,"0027026MOR",31082,"OPEN","APPLIED","Hipp, Andrew",42388.6207291667,"decimallatitude","41.668700000000001","41.669277000000001"
"7466",2101709,4262335,"0027050MOR",31412,"OPEN","APPLIED","Hipp, Andrew",42388.6302083333,"coordinateuncertaintyinmeters","204","218"
"99962",2101707,4262335,"0027050MOR",31412,"OPEN","APPLIED","Hipp, Andrew",42388.6302083333,"decimallatitude","41.105606000000002","41.104861999999997"
"107662",2101708,4262335,"0027050MOR",31412,"OPEN","APPLIED","Hipp, Andrew",42388.6302083333,"decimallongitude","-87.445683000000002","-87.446669999999997"
"7448",2102532,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.6979976852,"coordinateuncertaintyinmeters","152","130"
"99944",2102530,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.6979976852,"decimallatitude","41.784269999999999","41.784317999999999"
"107644",2102531,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.6979976852,"decimallongitude","-86.717146","-86.717209999999994"
"7447",2102535,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.6987731481,"coordinateuncertaintyinmeters","130","215"
"99943",2102533,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.6987731481,"decimallatitude","41.784317999999999","41.783918"
"107643",2102534,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.6987731481,"decimallongitude","-86.717209999999994","-86.716544999999996"
"7446",2102566,4264487,"0027321MOR",33575,"OPEN","APPLIED","Hipp, Andrew",42388.7006365741,"coordinateuncertaintyinmeters","215","163"
