"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","MatchGUID"
"0068274MOR","39.500003","-88.716322","WGS84","Louise and Lee","based on collectors description","GeoLocate","188","dded5329-3bbe-4fe9-b167-798243e7336b"
"0068275MOR","38.279359","-89.939793","WGS84","Louise and Lee","based on collectors description/believe in Monroe Cty.","GeoLocate","191","1812d633-1a53-4c41-bc90-fd60f3caa29e"
"0068276MOR","42.341194","-89.758845","WGS84","Louise and Lee","based on collectors description","GeoLocate","48","479d120e-7897-4a38-bdbd-af0a57e23afa"
"0068277MOR","42.23547","-89.601285","WGS84","Louise and Lee","based on collectors description","GeoLocate","195","e429f29a-d80b-4235-92ab-e3ee46dfc08d"
"0068278MOR","40.43064","-89.511925","WGS84","Louise and Lee","based on collectors description","GeoLocate","193","92fda437-70c4-4b36-8cff-0c79e46175ef"
"0068279MOR","38.28127","-89.352462","WGS84","Louise and Lee","based on collectors description","GeoLocate","195","f898420e-cb12-475b-8d0b-6b61103b0d4a"
"0068280MOR","38.340759","-88.679071","WGS84","Louise and Lee","based on collectors description","GeoLocate","212","7e31b770-b5b4-428f-b0dd-93e3f710d1c6"
"0068281MOR","39.53717","-87.823554","WGS84","Louise and Lee","based on collectors description","GeoLocate","243","612ca4ba-e6d8-4343-b738-c14d12cb678f"
"0068282MOR","38.263173","-88.066315","WGS84","Louise and Lee","based on collectors description","GeoLocate","185","8e37bf8d-1f82-48fd-ac69-52332b9d9d9f"
"0068283MOR","38.985012","-88.590188","WGS84","Louise and Lee","based on collectors description","GeoLocate","212","168eab35-c557-43d4-9934-6b5255278a62"
"0068286MOR","42.33824","-72.654353","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","84300b09-1ff2-4265-9555-3b01f8e4c8f4"
"0068287MOR","38.346868","-94.600466","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1082","f151aac3-a5b2-45b4-829f-cf2cad454542"
"0068288MOR","36.54498","-94.485453","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2023","73fc4641-2dd3-4ea8-a5c4-c031e7810519"
"0068289MOR","38.889827","-94.531406","WGS84","Louise & Lee","based on Collectors description","GeoLocate","960","618349f6-b93b-4060-a671-56dc21b6a0fd"
"0068290MOR","38.976007","-94.55138","WGS84","Louise & Lee","based on Collectors description","GeoLocate","538","7e71861d-24b3-4112-8a0f-95d508cfa05a"
"0068291MOR","37.176584","-94.310352","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1931","ae14bb48-9763-43bc-80fa-a8dfa93db619"
"0068292MOR","37.242762","-94.405347","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1940","ee72e393-1040-4682-ba63-ec8992fdec70"
"0068293MOR","36.987439","-91.575547","WGS84","Louise & Lee","based on Collectors description","GeoLocate","508","1b9f04ca-1a06-45af-9ff3-c295c19aa723"
"0068294MOR","36.543969","-93.857934","WGS84","Louise & Lee","based on Collectors description","GeoLocate","458","bd248d3b-fcef-46d4-9b57-0fc05e21d800"
"0068295MOR","38.199451","-94.371341","WGS84","Louise & Lee","based on Collectors description","GeoLocate","477","b3355312-7aba-4f69-81ab-d970b91596e6"
"0068296MOR","38.098703","-86.922175","WGS84","Louise & Lee","based on Collectors description","GeoLocate","172","7a49622b-bbb5-45d5-b452-30e09b3c7f7b"
"0068297MOR","40.675409","-95.691588","WGS84","Louise & Lee","based on Collectors description","GeoLocate","384","30cbdfa2-84bd-45e9-8f0e-da3226cb5819"
"0068298MOR","40.626001","-91.71277","WGS84","Louise & Lee","based on Collectors description","GeoLocate","195","dd8e108c-a0bf-4576-ba95-eafacc3de573"
"0068299MOR","37.079349","-88.612751","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2015","9eb142a4-373d-42e7-b7ea-061d180127fb"
"0068301MOR","32.922209","-91.861449","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1904","42d40cf3-32f7-43d4-89c4-c3c7749c8100"
"0068302MOR","31.783222","-93.103713","WGS84","Louise & Lee","based on Collectors description","GeoLocate","205","f9e8785c-5911-418d-925f-98b8a4983482"
"0068303MOR","37.583458","-89.439324","WGS84","Louise and Lee","based on collectors description","GeoLocate","223","94b3506c-f793-41e7-8fda-5b4d7ca43636"
"0068304MOR","40.324245","-87.798598","WGS84","Louise and Lee","based on collectors description","GeoLocate","90","9b02fa43-9afc-4b3b-8269-5ead1f54078e"
"0068305MOR","38.051473","-88.233004","WGS84","Louise and Lee","based on collectors description","GeoLocate","224","e3f67856-742b-453b-a549-c8a3aa9e4b93"
"0068306MOR","38.241906","-88.088293","WGS84","Louise & Lee","based on collectors description","GeoLocate","217","e8b68f0e-bd97-4966-86fc-58b0e4a09a65"
