"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","country","county","cultivationstatus","dateidentified","eventdate","georeferenceprotocol","habitat","identificationremarks","identifiedby","locality","localitysecurity","localitysecurityreason","municipality","occurrenceremarks","processingstatus","sciname","startdayofyear","stateprovince","stateProvince","verbatimattributes","verbatimcoordinates","verbatimeventdate","year"
"0001070MOR","41.818085000000004","-88.059231999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0001079MOR","41.816792999999997","-88.064789000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","","","","","","","","","","","","","","","","","","","","","","",""
"0001090MOR","41.813042000000003","-88.053748999999996","WGS84","Louise & Lee","based on collectors description","GeoLocate","299","","","","","","","","","","","","","","","","","","","","","","",""
"0001107MOR","41.892170999999998","-87.964629000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","","","","","","","","","","","","","","","","","","","","","","",""
"0001118MOR","41.818756999999998","-88.053803000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","","","","","","","","","","","","","","","","","","","","","","",""
"0001119MOR","41.815558000000003","-88.061892999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","","","","","","","","","","","","","","","","","","","","","","",""
"0001175MOR","41.774303000000003","-88.143428999999998","WGS84","Louise & Lee","based on Collectors description","GeoLocate","219","","","","","","","","","","","","","","","","","","","","","","",""
"0001209MOR","41.702238999999999","-87.979551000000001","WGS84","Louise & Lee","based on Collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0001215MOR","41.814689999999999","-88.088425000000001","WGS84","Louise & Lee","based on Collectors description","GeoLocate","99","","","","","","","","","","","","","","","","","","","","","","",""
"0001258MOR","41.816437999999998","-88.064166999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0001279MOR","41.816144999999999","-88.083477999999999","WGS84","Louise & Lee","based on Collectors description","GeoLocate","98","","","","","","","","","","","","","","","","","","","","","","",""
"0001283MOR","41.817317000000003","-88.065754999999996","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1996","","","","","","","","","","","","","","","","","","","","","","",""
"0001284MOR","41.817380999999997","-88.046786999999995","WGS84","Louise & Lee","based on Collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","","",""
"0001286MOR","41.816716999999997","-88.045423999999997","WGS84","Louise & Lee","based on Collectors description","GeoLocate","148","","","","","","","","","","","","","","","","","","","","","","",""
"0001344MOR","41.817540999999999","-88.063029999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0001353MOR","41.819076000000003","-88.053995999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","","","","","","","","","","","","","","","","","","","","","","",""
"0001365MOR","41.929640999999997","-88.181877999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","605","","","","","","","","","","","","","","","","","","","","","","",""
"0001381MOR","41.776477999999997","-88.148321999999993","WGS84","Louise & Lee","based on Collectors description","GeoLocate","51","","","","","","","","","","","","","","","","","","","","","","",""
"0001385MOR","41.841768000000002","-88.065546999999995","WGS84","Louise & Lee","based on Collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0001386MOR","41.773634000000001","-88.143428999999998","WGS84","Louise & Lee","based on Collectors description","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0001387MOR","41.749533999999997","-88.129377000000005","WGS84","Louise & Lee","based on Collectors description","GeoLocate","104","","","","","","","","","","","","","","","","","","","","","","",""
"0001388MOR","40.777537000000002","-87.162413000000001","","","","","100","","","","","","","","","","","","","","","","","","","","","","",""
"0001410MOR","41.817540999999999","-88.063029999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0001411MOR","41.816837999999997","-88.058717000000001","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0001412MOR","41.813794000000001","-88.079198000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","152","","","","","","","","","","","","","","","","","","","","","","",""
"0001413MOR","41.816769000000001","-88.041561000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","104","","","","","","","","","","","","","","","","","","","","","","",""
"0001435MOR","41.757916999999999","-88.140296000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","410","","","","","","","","","","","","","","","","","","","","","","",""
"0001438MOR","41.814529999999998","-88.037869999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","","","","","","","","","","","","","","","","","","","","","","",""
"0001439MOR","41.817540999999999","-88.063029999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0001456MOR","41.815376999999998","-88.037724999999995","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","","","","","","","","","","","","","","","","","","","","","","",""
"0001494MOR","41.814577999999997","-88.046066999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","","","","","","","","","","","","","","","","","","","","","","",""
"0001524MOR","41.896883000000003","-87.977604999999997","WGS84","Louise & Lee","based on collectors description","GeoLocate","49","","","","","","","","","","","","","","","","","","","","","","",""
"0001527MOR","41.821508999999999","-88.077136999999993","WGS84","Louise & Lee","based on collectors description","GeoLocate","60","","","","","","","","","","","","","","","","","","","","","","",""
"0001563MOR","41.814658000000001","-88.057912000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","","","","","","","","","","","","","","","","","","","","","","",""
"0001564MOR","41.817072000000003","-88.041132000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","","","","","","","","","","","","","","","","","","","","","","",""
"0001578MOR","41.811591","-88.038375000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","150","","","","","","","","","","","","","","","","","","","","","","",""
"0001610MOR","","","","","","","","","","","","","","The plants were found growing in a dry portion of a stabilized old field that was taken out of agricultural production in approximately 1970.","","","","","","","","","","","","","","","",""
"0001731MOR","41.816457","-88.044811999999993","WGS84","Louise & Lee","based on collectors description","GeoLocate","115","","","","","","","","","","","","","","","","","","","","","","",""
"0001741MOR","41.820870999999997","-88.049854999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","","","","","","","","","","","","","","","","","","","","","","",""
"0001748MOR","41.825220000000002","-88.049661999999998","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","","","","","","","","","","","","","","","","","","","","","","",""
"0001806MOR","41.815800000000003","-88.038396000000006","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","","","","","","","","","","","","","","","","","","","","","","",""
"0001808MOR","41.816248000000002","-88.037848999999994","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","","","","","","","","","","","","","","","","","","","","","","",""
"0001827MOR","40.777537000000002","-87.162413000000001","","Fertig","","","100","","","","","","","","","","","","","","","","","","","","","","",""
