"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0002635MOR","41.814994","-88.081473","WGS84","Louise & Lee","based on collectors description","GeoLocate","51"
"0002636MOR","41.916666","-88.0122","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0002696MOR","41.824581","-88.05331","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0002721MOR","41.812072","-88.068545","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0002723MOR","41.811316","-88.142259","WGS84","","","GeoLocate","197"
"0002743MOR","41.690153","-87.994697","WGS84","Louise & Lee","based on collectors description","GeoLocate","216"
"0002812MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0002813MOR","41.8158","-88.038396","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0002814MOR","41.81704","-88.07422","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0002825MOR","41.818331","-88.04394","WGS84","Louise & Lee","based on collectors description","GeoLocate","106"
"0002826MOR","41.815142","-88.059661","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0002827MOR","41.815718","-88.059318","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0002849MOR","41.822133","-88.055552","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0002850MOR","41.81535","-88.059532","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0002872MOR","41.817696","-88.067332","WGS84","Louise & Lee","based on collectors description","GeoLocate","150"
"0002900MOR","41.70286","-87.96249","WGS84","Louise & Lee","based on collectors description","GeoLocate","403"
"0002931MOR","41.813285","-88.079544","WGS84","Louise & Lee","based on collectors description","GeoLocate","96"
"0002936MOR","41.815569","-88.085764","WGS84","Louise & Lee","based on collectors description","GeoLocate","101"
"0002949MOR","41.819013","-88.058288","WGS84","Louise & Lee","based on collectors description","GeoLocate","135"
"0002958MOR","41.8249","-88.05022","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0002992MOR","41.817541","-88.06303","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0003014MOR","41.81967","-88.079437","WGS84","Louise & Lee","based on collectors description","GeoLocate","47"
"0003026MOR","41.797378","-88.181195","WGS84","Louise & Lee","based on collectors description","GeoLocate","496"
"0003027MOR","41.8197","-88.079476","WGS84","Louise & Lee","based on collectors description","GeoLocate","50"
"0003064MOR","41.812946","-88.092055","WGS84","Louise & Lee","based on collectors description","GeoLocate","148"
"0003065MOR","41.816337","-88.037441","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0003066MOR","41.814923","-88.037135","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0003067MOR","41.755164","-88.136198","WGS84","Louise & Lee","based on collectors description","GeoLocate","203"
"0003068MOR","41.779002","-88.135179","WGS84","Louise & Lee","based on collectors description","GeoLocate","206"
"0003070MOR","41.816337","-88.037441","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0003071MOR","41.813906","-88.092073","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0003072MOR","41.812634","-88.092177","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0003085MOR","41.900124","-87.961077","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0003087MOR","41.900124","-87.960734","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0003088MOR","41.687702","-88.163685","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0003132MOR","41.812866","-88.080957","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0003140MOR","41.881359","-88.183709","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0003176MOR","41.697109","-87.964346","WGS84","Louise & Lee","based on collectors description","GeoLocate","192"
"0003191MOR","41.896156","-87.98607","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0003277MOR","41.687191","-88.002712","WGS84","Louise & Lee","based on collectors description","GeoLocate","112"
"0003290MOR","41.705408","-87.965011","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0003314MOR","41.799245","-88.04943","WGS84","Louise & Lee","based on collectors description","GeoLocate","206"
"0003315MOR","41.786908","-87.955407","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0003317MOR","41.780355","-88.125662","WGS84","Louise & Lee","based on collectors description","GeoLocate","206"
"0003340MOR","41.812435","-88.09257","WGS84","Louise & Lee","based on collectors description","GeoLocate","152"
"0003406MOR","41.817541","-88.06303","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0003407MOR","41.817317","-88.065412","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0003408MOR","41.817541","-88.06303","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0003409MOR","41.819983","-88.046411","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0003410MOR","41.816561","-88.045252","WGS84","Louise & Lee","based on collectors description","GeoLocate","193"
"0003417MOR","41.829479","-87.931693","WGS84","Louise & Lee","based on collectors description","GeoLocate","98"
"0003425MOR","41.814503","-88.048031","WGS84","Louise & Lee","based on collectors description","GeoLocate","151"
"0003481MOR","41.782531","-88.120212","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0003523MOR","41.698926","-88.147289","WGS84","Louise & Lee","based on collectors description","GeoLocate","1997"
"0003552MOR","41.812939","-88.087513","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0003607MOR","41.813223","-88.09129","WGS84","Louise & Lee","based on collectors description","GeoLocate","217"
"0003618MOR","41.965419","-88.239186","WGS84","Louise & Lee","based on collectors description","GeoLocate","187"
"0003633MOR","41.821662","-88.081494","WGS84","Louise & Lee","based on collectors description","GeoLocate","196"
"0003674MOR","41.878415","-88.191678","WGS84","Louise & Lee","based on collectors description","GeoLocate","174"
"0003799MOR","41.696052","-87.993657","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0003807MOR","41.817877","-88.062172","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0003818MOR","41.792338","-87.946609","WGS84","Louise & Lee","based on collectors description","GeoLocate","2028"
"0003825MOR","41.830031","-87.932654","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0003856MOR","41.784572","-87.95492","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0003857MOR","41.813003","-88.091676","WGS84","Louise & Lee","based on collectors description","GeoLocate","172"
"0003894MOR","41.826656","-87.932959","WGS84","Louise & Lee","based on collectors description","GeoLocate","196"
"0003909MOR","41.808636","-88.094881","WGS84","Louise & Lee","based on collectors description","GeoLocate","49"
"0003952MOR","41.818325","-88.066721","WGS84","Louise & Lee","based on collectors description","GeoLocate","103"
"0003953MOR","41.812619","-88.09129","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0003972MOR","41.755228","-88.135687","WGS84","Louise & Lee","based on collectors description","GeoLocate","209"
"0003973MOR","41.811819","-88.070862","WGS84","Louise & Lee","based on collectors description","GeoLocate","154"
"0004004MOR","41.779715","-88.143515","WGS84","Louise & Lee","based on collectors description","GeoLocate","504"
"0004008MOR","41.812843","-88.092019","WGS84","Louise & Lee","based on collectors description","GeoLocate","151"
"0004020MOR","41.813067","-88.091751","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0004066MOR","41.820071","-88.092706","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0004111MOR","41.81473","-88.04168","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0004118MOR","41.818888","-88.076209","WGS84","Louise & Lee","based on collectors description","GeoLocate","153"
"0004119MOR","41.819272","-88.075754","WGS84","Louise & Lee","based on collectors description","GeoLocate","150"
"0004121MOR","41.973226","-88.24322","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0004128MOR","41.812634","-88.092177","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0004129MOR","41.824204","-88.05199","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0004196MOR","41.811347","-88.070717","WGS84","Louise & Lee","based on collectors description","GeoLocate","101"
"0004224MOR","41.813351","-88.054211","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0004225MOR","41.81505","-88.062712","WGS84","Louise & Lee","based on collectors description","GeoLocate","103"
"0004258MOR","41.788009","-88.024518","WGS84","Louise & Lee","based on collectors description","GeoLocate","108"
"0004263MOR","41.814642","-88.04169","WGS84","Louise & Lee","based on collectors description","GeoLocate","125"
"0004298MOR","41.818469","-88.065648","WGS84","Louise & Lee","based on collectors description","GeoLocate","107"
"0004300MOR","41.813691","-88.050542","WGS84","Louise & Lee","based on collectors description","GeoLocate","97"
"0004412MOR","41.690646","-87.993187","WGS84","Louise & Lee","based on collectors description","GeoLocate","194"
"0004413MOR","41.690646","-87.993187","WGS84","Louise & Lee","based on collectors description","GeoLocate","194"
"0004452MOR","41.818952","-88.051207","WGS84","Louise & Lee","based on collectors description","GeoLocate","151"
"0004453MOR","41.819812","-88.060262","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0004457MOR","41.790729","-88.022329","WGS84","Louise & Lee","based on collectors description","GeoLocate","508"
"0004459MOR","41.823586","-88.05022","WGS84","Louise & Lee","based on collectors description","GeoLocate","196"
"0004480MOR","41.779587","-88.135511","WGS84","Louise & Lee","based on collectors description","GeoLocate","152"
"0004496MOR","41.789993","-88.023745","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0004497MOR","41.779923","-88.135323","WGS84","Louise & Lee","based on collectors description","GeoLocate","208"
"0004498MOR","41.779459","-88.135705","WGS84","Louise & Lee","based on collectors description","GeoLocate","208"
"0004499MOR","41.818149","-88.056099","WGS84","Louise & Lee","based on collectors description","GeoLocate","110"
"0004533MOR","41.978723","-88.275833","WGS84","Louise & Lee","based on collectors description","GeoLocate","494"
