"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0065633MOR","37.138197|bannon-hipp|NA","-89.283471|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","241|bannon-hipp|NA"
"0065634MOR","37.123809|bannon-hipp|NA","-89.226762|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise and Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","217|bannon-hipp|NA"
"0065635MOR","38.021084|bannon-hipp|NA","-83.82454|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0065636MOR","37.062469|bannon-hipp|NA","-88.135938|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1988|bannon-hipp|NA"
"0065637MOR","37.090965|bannon-hipp|NA","-88.085279|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2068|bannon-hipp|NA"
"0065638MOR","30.940242|bannon-hipp|NA","-91.512202|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2025|bannon-hipp|NA"
"0065639MOR","31.761888|bannon-hipp|NA","-93.107218|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2003|bannon-hipp|NA"
"0065640MOR","32.579028|bannon-hipp|NA","-92.069689|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","80|bannon-hipp|NA"
"0065641MOR","33.677577|bannon-hipp|NA","-94.540619|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","4624|bannon-hipp|NA"
"0065642MOR","33.1932|bannon-hipp|NA","-79.96973|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","155|bannon-hipp|NA"
"0065643MOR","32.055996|bannon-hipp|NA","-95.325294|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","209|bannon-hipp|NA"
"0065652MOR","43.038335|bannon-hipp|NA","-89.429858|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","225|bannon-hipp|NA"
